title,competation,time,country
Furious Gaming vs LBS Esports,Campeonato Sudamericano 2020 Stage 1,"Friday, Jul 24 2020, 21:00 UTC",Latin America
Infamous Gaming vs Nocturns Gaming,Campeonato Sudamericano 2020 Stage 1,"Friday, Jul 24 2020, 23:00 UTC",Latin America
DarkZero Esports vs Soniqs,North American League Major Qualifier 2020 Stage 1,"Saturday, Jul 25 2020, 23:30 UTC",North America
9z Team vs Coscu Army,Campeonato Sudamericano 2020 Stage 1,"Saturday, Jul 25 2020, 1:00 UTC",Latin America
FURIA Esports vs MIBR,Brasileirão 2020 Stage 1,"Saturday, Jul 25 2020, 16:00 UTC",Latin America
Mirage vs Tempo Storm,North American League Major Qualifier 2020 Stage 1,"Saturday, Jul 25 2020, 0:00 UTC",North America
GC Busan Spear vs SGA eSPORTS,Korean Open Summer 2020,"Saturday, Jul 25 2020, 5:00 UTC",Asia-Pacific
Malvinas Gaming vs Coscu Army,Campeonato Sudamericano 2020 Stage 1,"Friday, Jul 31 2020, 1:00 UTC",Latin America
Talon Esports vs SCARZ,Korean Open Summer 2020,"Saturday, Jul 25 2020, 8:00 UTC",Asia-Pacific
DarkZero Esports vs Mirage,North American League Major Qualifier 2020 Stage 1,"Saturday, Jul 25 2020, 18:00 UTC",North America
Ninjas In Pyjamas vs Santos e-Sports,Brasileirão 2020 Stage 1,"Saturday, Jul 25 2020, 18:30 UTC",Latin America
Soniqs vs Tempo Storm,North American League Major Qualifier 2020 Stage 1,"Saturday, Jul 25 2020, 21:00 UTC",North America
Team Liquid vs Team oNe Esports,Brasileirão 2020 Stage 1,"Saturday, Jul 25 2020, 21:00 UTC",Latin America
Infinity Academy vs Timbers Esports,Campeonato Mexicano 2020 Stage 1,"Saturday, Jul 25 2020, 22:00 UTC",Latin America
Atheris Esports vs Pixel Esports Club,Campeonato Mexicano 2020 Stage 1,"Sunday, Jul 26 2020, 0:00 UTC",Latin America
Altiora vs Nordik Esports,Canada Division 2020 Stage 1,"Friday, Jul 24 2020, 22:00 UTC",North America
Infamous Gaming vs Azules Esports,Campeonato Sudamericano 2020 Stage 1,"Friday, Jul 24 2020, 1:00 UTC",Latin America
WHALE vs Faust,Korean Open Summer 2020,"Sunday, Jul 26 2020, 8:00 UTC",Asia-Pacific
